Player,Nation,Age,Minutes,ShotsOnTargetAgainst,GoalsAgainst,Saves,Save%,HomeTeam,Away_Team,Date,PlayerTeam
Matt Acton,au AUS,32-278,90,4,1,3,75,Adelaide United,Brisbane Roar,8/03/2025,Brisbane Roar
James Delianov,au AUS,25-139,90,2,1,1,50,Adelaide United,Brisbane Roar,8/03/2025,Adelaide United
Filip Kurto,pl POL,33-266,90,3,2,2,66.7,Melbourne City,Macarthur FC,7/03/2025,Macarthur FC
Patrick Beach,au AUS,21-213,90,2,0,2,100,Melbourne City,Macarthur FC,7/03/2025,Melbourne City
Dylan Peraic-Cullen,au AUS,18-226,90,9,3,6,66.7,Melbourne Victory,Central Coast Mariners,8/03/2025,Central Coast Mariners
Mitchell Langerak,au AUS,36-198,90,0,0,0,,Melbourne Victory,Central Coast Mariners,8/03/2025,Melbourne Victory
Alex Paulsen,nz NZL,22-248,90,5,1,5,80,Newcastle Jets,Auckland FC,9/03/2025,Auckland FC
Noah James,au AUS,24-023,90,8,1,7,87.5,Newcastle Jets,Auckland FC,9/03/2025,Newcastle Jets
Albert Kelly-Heald,nz NZL,19-355,90,9,4,5,55.6,Western United,Wellington Phoenix,8/03/2025,Wellington Phoenix
Matthew Sutton,au AUS,25-001,90,1,1,0,0,Western United,Wellington Phoenix,8/03/2025,Western United
